Tracking_ID,HG19en82 Chromosome,HG19en82 Gene Start (bp),HG19en82 Gene End (bp),HG19en82 Gene Length,HG19en82 Strand,HG19en82 % GC Content,HG19en82 Cytoband,HG19en82 Gene Biotype,HG19en82 Gene Name,HG19en82 Description
ENSG00000127947,chr7,77166592,77269388,5547,+,38.16,q11.23,protein_coding,PTPN12,"protein tyrosine phosphatase, non-receptor type 12 [Source:HGNC Symbol;Acc:9645]"
ENSG00000083444,chr1,11994262,12035595,5320,+,53.54,p36.22,protein_coding,PLOD1,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:9081]"
ENSG00000241360,chr22,38054734,38062941,2203,+,55.3,q13.1,protein_coding,PDXP,"pyridoxal (pyridoxine, vitamin B6) phosphatase [Source:HGNC Symbol;Acc:30259]"
ENSG00000169598,chr1,3773845,3801993,3856,+,51.66,p36.32,protein_coding,DFFB,"DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase) [Source:HGNC Symbol;Acc:2773]"
ENSG00000135473,chr12,56710007,56727837,7288,-,47.67,q13.3,protein_coding,PAN2,PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20074]
ENSG00000137285,chr6,3224495,3231964,2194,-,56.75,p25.2,protein_coding,TUBB2B,"tubulin, beta 2B class IIb [Source:HGNC Symbol;Acc:30829]"
ENSG00000148429,chr10,11495945,11653753,14202,-,38.22,p14,protein_coding,USP6NL,USP6 N-terminal like [Source:HGNC Symbol;Acc:16858]
ENSG00000155959,chrX,154425284,154468098,2562,+,40.4,q28,protein_coding,VBP1,von Hippel-Lindau binding protein 1 [Source:HGNC Symbol;Acc:12662]
ENSG00000198324,chr12,111798455,111806925,3361,-,57.94,q24.12,protein_coding,FAM109A,"family with sequence similarity 109, member A [Source:HGNC Symbol;Acc:26509]"
ENSG00000237412,chr2,233385173,233390422,2386,+,66.15,q37.1,protein_coding,PRSS56,"protease, serine, 56 [Source:HGNC Symbol;Acc:39433]"
ENSG00000198821,chr1,167399877,167487847,4034,-,47.24,q24.2,protein_coding,CD247,CD247 molecule [Source:HGNC Symbol;Acc:1677]
ENSG00000151893,chr10,120433679,120514761,7828,-,39.56,q26.11,protein_coding,CACUL1,"CDK2-associated, cullin domain 1 [Source:HGNC Symbol;Acc:23727]"
ENSG00000130347,chr6,107018903,107077373,2928,-,41.03,q21,protein_coding,RTN4IP1,reticulon 4 interacting protein 1 [Source:HGNC Symbol;Acc:18647]
ENSG00000105771,chr19,44235301,44259142,4770,-,49.99,q13.31,protein_coding,SMG9,SMG9 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:25763]
ENSG00000134363,chr5,52776239,52782964,2969,+,45.51,q11.2,protein_coding,FST,follistatin [Source:HGNC Symbol;Acc:3971]
ENSG00000065609,chr6,84262599,84419410,6657,-,36.62,q14.2,protein_coding,SNAP91,"synaptosomal-associated protein, 91kDa [Source:HGNC Symbol;Acc:14986]"
ENSG00000176485,chr11,63340667,63384355,3104,-,45.84,q12.3,protein_coding,PLA2G16,"phospholipase A2, group XVI [Source:HGNC Symbol;Acc:17825]"
ENSG00000147416,chr8,20054878,20084330,7816,+,39.51,p21.3,protein_coding,ATP6V1B2,"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2 [Source:HGNC Symbol;Acc:854]"
ENSG00000103319,chr16,22217603,22298554,6357,+,47.88,p12.2,protein_coding,EEF2K,eukaryotic elongation factor-2 kinase [Source:HGNC Symbol;Acc:24615]
ENSG00000189367,chr6,127761488,127780536,7229,-,35.14,q22.33,protein_coding,KIAA0408,KIAA0408 [Source:HGNC Symbol;Acc:21636]
ENSG00000012174,chrX,21857754,21903542,8927,+,38.49,p22.12,protein_coding,MBTPS2,"membrane-bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:15455]"
ENSG00000108557,chr17,17584787,17714767,9696,+,56.45,p11.2,protein_coding,RAI1,retinoic acid induced 1 [Source:HGNC Symbol;Acc:9834]
ENSG00000187583,chr1,901877,911245,2833,+,62.65,p36.33,protein_coding,PLEKHN1,"pleckstrin homology domain containing, family N member 1 [Source:HGNC Symbol;Acc:25284]"
ENSG00000214253,chr7,100882739,100895597,1795,-,51.92,q22.1,protein_coding,FIS1,fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:21689]
ENSG00000170323,chr8,82390654,82395498,1396,-,34.86,q21.13,protein_coding,FABP4,"fatty acid binding protein 4, adipocyte [Source:HGNC Symbol;Acc:3559]"
ENSG00000108773,chr17,40265126,40273376,3769,-,58.67,q21.2,protein_coding,KAT2A,K(lysine) acetyltransferase 2A [Source:HGNC Symbol;Acc:4201]
ENSG00000117569,chr1,97187221,97289294,13174,+,35.67,p21.3,protein_coding,PTBP2,polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:17662]
ENSG00000159055,chr21,33640530,33651380,1723,-,40.72,q22.11,protein_coding,MIS18A,MIS18 kinetochore protein A [Source:HGNC Symbol;Acc:1286]
ENSG00000051825,chr12,123636867,123728561,10304,-,42.99,q24.31,protein_coding,MPHOSPH9,M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:7215]
ENSG00000118369,chr11,77899858,77925757,5233,+,53.01,q14.1,protein_coding,USP35,ubiquitin specific peptidase 35 [Source:HGNC Symbol;Acc:20061]
ENSG00000164185,chr5,121465208,121515312,2364,+,38.52,q23.2,protein_coding,ZNF474,zinc finger protein 474 [Source:HGNC Symbol;Acc:23245]
ENSG00000153006,chr5,64013971,64064512,7537,-,36.21,q12.3,protein_coding,SREK1IP1,SREK1-interacting protein 1 [Source:HGNC Symbol;Acc:26716]
ENSG00000109911,chr11,31531297,31805546,2219,+,35.81,p13,protein_coding,ELP4,elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:1171]
ENSG00000133275,chr19,1941188,1981337,4229,+,61.01,p13.3,protein_coding,CSNK1G2,"casein kinase 1, gamma 2 [Source:HGNC Symbol;Acc:2455]"
ENSG00000154122,chr5,14704910,14871887,10868,-,43.86,p15.2,protein_coding,ANKH,ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:15492]
ENSG00000170581,chr12,56735381,56753939,6109,-,47.77,q13.3,protein_coding,STAT2,"signal transducer and activator of transcription 2, 113kDa [Source:HGNC Symbol;Acc:11363]"
ENSG00000162337,chr11,68080077,68216743,6164,+,54.62,q13.2,protein_coding,LRP5,low density lipoprotein receptor-related protein 5 [Source:HGNC Symbol;Acc:6697]
ENSG00000154415,chr7,113516832,113715975,4679,-,36.17,q31.1,protein_coding,PPP1R3A,"protein phosphatase 1, regulatory subunit 3A [Source:HGNC Symbol;Acc:9291]"
ENSG00000115317,chr2,74756504,74760472,2998,+,54.72,p13.1,protein_coding,HTRA2,HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:14348]
ENSG00000111181,chr12,299243,323736,5683,-,52.8,p13.33,protein_coding,SLC6A12,"solute carrier family 6 (neurotransmitter transporter), member 12 [Source:HGNC Symbol;Acc:11045]"
ENSG00000099338,chr19,38826415,38861589,9283,+,53.1,q13.2,protein_coding,CATSPERG,catsper channel auxiliary subunit gamma [Source:HGNC Symbol;Acc:25243]
ENSG00000204592,chr6,30457244,30461982,2975,+,55.48,p21.33,protein_coding,HLA-E,"major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:4962]"
ENSG00000099977,chr22,24313554,24322660,1753,-,54.24,q11.23,protein_coding,DDT,D-dopachrome tautomerase [Source:HGNC Symbol;Acc:2732]
ENSG00000100056,chr22,19117792,19132197,6003,-,55.92,q11.21,protein_coding,DGCR14,DiGeorge syndrome critical region gene 14 [Source:HGNC Symbol;Acc:16817]
ENSG00000077312,chr19,41256542,41271294,2361,+,50.77,q13.2,protein_coding,SNRPA,small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:11151]
ENSG00000142937,chr1,45240923,45244451,2847,+,55.11,p34.1,protein_coding,RPS8,ribosomal protein S8 [Source:HGNC Symbol;Acc:10441]
ENSG00000154518,chr2,176040986,176049335,6780,-,40.96,q31.1,protein_coding,ATP5G3,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9) [Source:HGNC Symbol;Acc:843]"
ENSG00000144659,chr3,39424839,39438842,2151,+,46.41,p22.1,protein_coding,SLC25A38,"solute carrier family 25, member 38 [Source:HGNC Symbol;Acc:26054]"
ENSG00000120314,chr5,140044261,140053709,7675,+,53.17,q31.3,protein_coding,WDR55,WD repeat domain 55 [Source:HGNC Symbol;Acc:25971]
ENSG00000100605,chr14,93403259,93582665,6783,-,53.85,q32.12,protein_coding,ITPK1,inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:6177]
ENSG00000165525,chr14,50249997,50319921,8230,-,40.44,q21.3,protein_coding,NEMF,nuclear export mediator factor [Source:HGNC Symbol;Acc:10663]
ENSG00000204252,chr6,32971955,32977389,4012,-,52.53,p21.32,protein_coding,HLA-DOA,"major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:4936]"
ENSG00000171962,chr17,17876127,17920203,7332,+,50.24,p11.2,protein_coding,LRRC48,leucine rich repeat containing 48 [Source:HGNC Symbol;Acc:25384]
ENSG00000139874,chr14,38677204,38682272,4295,+,54.27,q21.1,protein_coding,SSTR1,somatostatin receptor 1 [Source:HGNC Symbol;Acc:11330]
ENSG00000198087,chr6,47445525,47594999,6751,+,36.38,p12.3,protein_coding,CD2AP,CD2-associated protein [Source:HGNC Symbol;Acc:14258]
ENSG00000241644,chr7,30737601,30797218,3376,+,50.11,p14.3,protein_coding,INMT,indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:6069]
ENSG00000188554,chr17,41322498,41363708,8424,+,44.16,q21.31,protein_coding,NBR1,neighbor of BRCA1 gene 1 [Source:HGNC Symbol;Acc:6746]
ENSG00000160213,chr21,45192393,45196326,2490,-,54.22,q22.3,protein_coding,CSTB,cystatin B (stefin B) [Source:HGNC Symbol;Acc:2482]
ENSG00000197769,chr1,242158792,242162375,1182,-,49.02,q43,protein_coding,MAP1LC3C,microtubule-associated protein 1 light chain 3 gamma [Source:HGNC Symbol;Acc:13353]
ENSG00000066185,chr1,42896000,42921938,2195,-,42.83,p34.2,protein_coding,ZMYND12,"zinc finger, MYND-type containing 12 [Source:HGNC Symbol;Acc:21192]"
ENSG00000130066,chrX,23801290,23804343,2498,+,43.75,p22.11,protein_coding,SAT1,spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:10540]
ENSG00000119048,chr5,133706870,133727683,3291,+,41.55,q31.1,protein_coding,UBE2B,ubiquitin-conjugating enzyme E2B [Source:HGNC Symbol;Acc:12473]
ENSG00000170801,chr4,8271492,8308838,3321,+,56.08,p16.1,protein_coding,HTRA3,HtrA serine peptidase 3 [Source:HGNC Symbol;Acc:30406]
ENSG00000166140,chr15,41099284,41106767,4264,+,53.46,q15.1,protein_coding,ZFYVE19,"zinc finger, FYVE domain containing 19 [Source:HGNC Symbol;Acc:20758]"
ENSG00000176225,chr18,67671029,67873181,9077,-,36.78,q22.2,protein_coding,RTTN,rotatin [Source:HGNC Symbol;Acc:18654]
ENSG00000167107,chr17,48503519,48552206,5797,+,49.96,q21.33,protein_coding,ACSF2,acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:26101]
ENSG00000163257,chr4,17802278,17812381,4816,-,39.37,p15.31,protein_coding,DCAF16,DDB1 and CUL4 associated factor 16 [Source:HGNC Symbol;Acc:25987]
ENSG00000244045,chr17,26684604,26708716,5114,+,51.91,q11.2,protein_coding,TMEM199,transmembrane protein 199 [Source:HGNC Symbol;Acc:18085]
ENSG00000138161,chr10,124591665,124639146,3752,-,40.81,q26.13,protein_coding,CUZD1,CUB and zona pellucida-like domains 1 [Source:HGNC Symbol;Acc:17937]
ENSG00000104880,chr19,7459999,7537363,6235,+,51.44,p13.2,protein_coding,ARHGEF18,Rho/Rac guanine nucleotide exchange factor (GEF) 18 [Source:HGNC Symbol;Acc:17090]
ENSG00000143801,chr1,227057885,227083806,3757,+,52.42,q42.13,protein_coding,PSEN2,presenilin 2 (Alzheimer disease 4) [Source:HGNC Symbol;Acc:9509]
ENSG00000121931,chr1,111489807,111506701,3621,-,36.58,p13.3,protein_coding,LRIF1,ligand dependent nuclear receptor interacting factor 1 [Source:HGNC Symbol;Acc:30299]
ENSG00000136014,chr12,95910336,95945266,5386,-,41.64,q22,protein_coding,USP44,ubiquitin specific peptidase 44 [Source:HGNC Symbol;Acc:20064]
ENSG00000056487,chr22,45277042,45405880,5753,-,52.73,q13.31,protein_coding,PHF21B,PHD finger protein 21B [Source:HGNC Symbol;Acc:25161]
ENSG00000129083,chr11,14464986,14521573,5131,-,38.27,p15.2,protein_coding,COPB1,"coatomer protein complex, subunit beta 1 [Source:HGNC Symbol;Acc:2231]"
ENSG00000174125,chr4,38792298,38858438,4533,-,40.78,p14,protein_coding,TLR1,toll-like receptor 1 [Source:HGNC Symbol;Acc:11847]
ENSG00000139540,chr12,56623833,56631630,2903,+,54.83,q13.3,protein_coding,SLC39A5,"solute carrier family 39 (zinc transporter), member 5 [Source:HGNC Symbol;Acc:20502]"
ENSG00000085644,chr16,3179778,3192806,6443,+,53.47,p13.3,protein_coding,ZNF213,zinc finger protein 213 [Source:HGNC Symbol;Acc:13005]
ENSG00000130182,chr16,3138891,3149318,3319,-,55.81,p13.3,protein_coding,ZSCAN10,zinc finger and SCAN domain containing 10 [Source:HGNC Symbol;Acc:12997]
ENSG00000137221,chr6,43445261,43474294,5655,+,51.17,p21.1,protein_coding,TJAP1,tight junction associated protein 1 (peripheral) [Source:HGNC Symbol;Acc:17949]
ENSG00000112182,chr6,90636248,91006627,9786,-,40.5,q15,protein_coding,BACH2,"BTB and CNC homology 1, basic leucine zipper transcription factor 2 [Source:HGNC Symbol;Acc:14078]"
ENSG00000133247,chr19,55851221,55859488,4775,+,64.88,q13.42,protein_coding,SUV420H2,suppressor of variegation 4-20 homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:28405]
ENSG00000160285,chr21,47608055,47648738,7238,-,53.33,q22.3,protein_coding,LSS,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase) [Source:HGNC Symbol;Acc:6708]"
ENSG00000074416,chr3,127407909,127542051,10056,-,49.31,q21.3,protein_coding,MGLL,monoglyceride lipase [Source:HGNC Symbol;Acc:17038]
ENSG00000078269,chr6,158402888,158520208,9985,+,49.67,q25.3,protein_coding,SYNJ2,synaptojanin 2 [Source:HGNC Symbol;Acc:11504]
ENSG00000166037,chr11,95523129,95565857,7101,+,37.69,q21,protein_coding,CEP57,centrosomal protein 57kDa [Source:HGNC Symbol;Acc:30794]
ENSG00000120875,chr8,29190581,29208185,7257,-,51.08,p12,protein_coding,DUSP4,dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:3070]
ENSG00000156831,chr8,126103921,126379362,2714,+,39.89,q24.13,protein_coding,NSMCE2,"non-SMC element 2, MMS21 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:26513]"
ENSG00000171368,chr5,660883,693510,5116,-,62.07,p15.33,protein_coding,TPPP,tubulin polymerization promoting protein [Source:HGNC Symbol;Acc:24164]
ENSG00000177096,chr22,42470255,42475445,2451,+,55.85,q13.2,protein_coding,FAM109B,"family with sequence similarity 109, member B [Source:HGNC Symbol;Acc:27161]"
ENSG00000142279,chr19,34971874,34997258,8262,+,57.39,q13.11,protein_coding,WTIP,Wilms tumor 1 interacting protein [Source:HGNC Symbol;Acc:20964]
ENSG00000189403,chr13,31032884,31191734,5828,-,41.99,q12.3,protein_coding,HMGB1,high mobility group box 1 [Source:HGNC Symbol;Acc:4983]
ENSG00000215251,chr20,3127165,3140543,2874,-,44.53,p13,protein_coding,FASTKD5,FAST kinase domains 5 [Source:HGNC Symbol;Acc:25790]
ENSG00000085760,chr2,55463731,55496483,3371,-,39.6,p16.1,protein_coding,MTIF2,mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:7441]
ENSG00000124508,chr6,26383324,26395102,6398,+,45.78,p22.2,protein_coding,BTN2A2,"butyrophilin, subfamily 2, member A2 [Source:HGNC Symbol;Acc:1137]"
ENSG00000096654,chr6,27418522,27440897,3122,-,38.79,p22.1,protein_coding,ZNF184,zinc finger protein 184 [Source:HGNC Symbol;Acc:12975]
ENSG00000141384,chr18,23805900,23971649,5395,+,38.65,q11.2,protein_coding,TAF4B,"TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa [Source:HGNC Symbol;Acc:11538]"
ENSG00000172366,chr16,691813,698474,2226,+,63.18,p13.3,protein_coding,FAM195A,"family with sequence similarity 195, member A [Source:HGNC Symbol;Acc:14142]"
ENSG00000169019,chr4,47452885,47465736,1694,-,36.42,p12,protein_coding,COMMD8,COMM domain containing 8 [Source:HGNC Symbol;Acc:26036]
ENSG00000163913,chr3,129158968,129239198,9395,+,47.55,q21.3,protein_coding,IFT122,intraflagellar transport 122 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:13556]
ENSG00000101365,chr20,2639041,2644865,2299,-,51.38,p13,protein_coding,IDH3B,isocitrate dehydrogenase 3 (NAD+) beta [Source:HGNC Symbol;Acc:5385]
ENSG00000149090,chr11,35453370,35551848,3862,-,41.96,p13,protein_coding,PAMR1,peptidase domain containing associated with muscle regeneration 1 [Source:HGNC Symbol;Acc:24554]
ENSG00000111266,chr12,12628829,12715317,4039,-,40.23,p13.2,protein_coding,DUSP16,dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:17909]
ENSG00000100600,chr14,93170152,93215047,3899,-,47.28,q32.12,protein_coding,LGMN,legumain [Source:HGNC Symbol;Acc:9472]
ENSG00000164379,chr6,1312675,1314992,2318,+,62.17,p25.3,protein_coding,FOXQ1,forkhead box Q1 [Source:HGNC Symbol;Acc:20951]
ENSG00000143450,chr1,151735445,151743808,4349,+,48.76,q21.3,protein_coding,OAZ3,ornithine decarboxylase antizyme 3 [Source:HGNC Symbol;Acc:8097]
ENSG00000101413,chr20,36661948,36720768,4243,+,41.9,q11.23,protein_coding,RPRD1B,regulation of nuclear pre-mRNA domain containing 1B [Source:HGNC Symbol;Acc:16209]
ENSG00000135451,chr12,49717019,49725514,3954,+,53.1,q13.12,protein_coding,TROAP,trophinin associated protein [Source:HGNC Symbol;Acc:12327]
ENSG00000147912,chr9,37510889,37588871,6059,-,45.45,p13.2,protein_coding,FBXO10,F-box protein 10 [Source:HGNC Symbol;Acc:13589]
ENSG00000074211,chr4,6322305,6565327,9198,-,51.48,p16.1,protein_coding,PPP2R2C,"protein phosphatase 2, regulatory subunit B, gamma [Source:HGNC Symbol;Acc:9306]"
ENSG00000198860,chr1,184020811,184043346,2443,+,35.04,q25.3,protein_coding,TSEN15,TSEN15 tRNA splicing endonuclease subunit [Source:HGNC Symbol;Acc:16791]
ENSG00000142751,chr1,27202624,27216788,4979,-,48.75,p36.11,protein_coding,GPN2,GPN-loop GTPase 2 [Source:HGNC Symbol;Acc:25513]
ENSG00000186648,chr14,24521206,24538937,6668,+,57.83,q11.2,protein_coding,LRRC16B,leucine rich repeat containing 16B [Source:HGNC Symbol;Acc:20272]
ENSG00000102910,chr16,48278207,48397033,9957,+,39.56,q12.1,protein_coding,LONP2,"lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:20598]"
ENSG00000101104,chr20,43538703,43587676,4984,+,47.22,q13.12,protein_coding,PABPC1L,"poly(A) binding protein, cytoplasmic 1-like [Source:HGNC Symbol;Acc:15797]"
ENSG00000204822,chr2,74699085,74700449,1344,-,53.92,p13.1,protein_coding,MRPL53,mitochondrial ribosomal protein L53 [Source:HGNC Symbol;Acc:16684]
ENSG00000146535,chr7,2767746,2883958,6120,-,45.87,p22.2,protein_coding,GNA12,guanine nucleotide binding protein (G protein) alpha 12 [Source:HGNC Symbol;Acc:4380]
ENSG00000198624,chr5,150560613,150603706,4993,-,45.82,q33.1,protein_coding,CCDC69,coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:24487]
ENSG00000107521,chr10,100175955,100206684,5277,-,49.71,q24.2,protein_coding,HPS1,Hermansky-Pudlak syndrome 1 [Source:HGNC Symbol;Acc:5163]
ENSG00000150961,chr4,119643978,119759838,9938,-,38.92,q26,protein_coding,SEC24D,SEC24 family member D [Source:HGNC Symbol;Acc:10706]
ENSG00000139496,chr13,25875662,25923938,10412,+,36.36,q12.13,protein_coding,NUPL1,nucleoporin like 1 [Source:HGNC Symbol;Acc:20261]
ENSG00000160460,chr19,40972148,41082370,11677,+,51.05,q13.2,protein_coding,SPTBN4,"spectrin, beta, non-erythrocytic 4 [Source:HGNC Symbol;Acc:14896]"
ENSG00000162775,chr1,110881128,110889299,4666,+,44.02,p13.3,protein_coding,RBM15,RNA binding motif protein 15 [Source:HGNC Symbol;Acc:14959]
ENSG00000160801,chr3,46919236,46945287,2756,+,57.96,p21.31,protein_coding,PTH1R,parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:9608]
ENSG00000159784,chr7,143050493,143059863,6430,-,55.07,q34,protein_coding,FAM131B,"family with sequence similarity 131, member B [Source:HGNC Symbol;Acc:22202]"
ENSG00000117122,chr1,17300997,17307330,2915,-,62.61,p36.13,protein_coding,MFAP2,microfibrillar-associated protein 2 [Source:HGNC Symbol;Acc:7033]
ENSG00000075914,chr3,45016733,45077558,4442,+,46.87,p21.31,protein_coding,EXOSC7,exosome component 7 [Source:HGNC Symbol;Acc:28112]
ENSG00000135740,chr16,67271586,67306093,5419,+,52.62,q22.1,protein_coding,SLC9A5,"solute carrier family 9, subfamily A (NHE5, cation proton antiporter 5), member 5 [Source:HGNC Symbol;Acc:11078]"
ENSG00000126003,chr20,30780306,30795594,5705,-,48.56,q11.21,protein_coding,PLAGL2,pleiomorphic adenoma gene-like 2 [Source:HGNC Symbol;Acc:9047]
ENSG00000067606,chr1,1981909,2116834,7636,+,56.44,p36.33,protein_coding,PRKCZ,"protein kinase C, zeta [Source:HGNC Symbol;Acc:9412]"
ENSG00000122861,chr10,75668935,75677255,2950,+,53.49,q22.2,protein_coding,PLAU,"plasminogen activator, urokinase [Source:HGNC Symbol;Acc:9052]"
ENSG00000128512,chr7,111366166,111846466,11351,-,39.18,q31.1,protein_coding,DOCK4,dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:19192]
ENSG00000110841,chr12,27676364,27848497,10330,+,39.81,p11.23,protein_coding,PPFIBP1,"PTPRF interacting protein, binding protein 1 (liprin beta 1) [Source:HGNC Symbol;Acc:9249]"
ENSG00000157036,chr3,38537618,38583652,5223,+,42.1,p22.2,protein_coding,EXOG,"endo/exonuclease (5'-3'), endonuclease G-like [Source:HGNC Symbol;Acc:3347]"
ENSG00000087258,chr16,56225302,56391356,9813,+,49.47,q12.2,protein_coding,GNAO1,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O [Source:HGNC Symbol;Acc:4389]"
ENSG00000166377,chr18,76829285,77138283,14930,+,41.82,q23,protein_coding,ATP9B,"ATPase, class II, type 9B [Source:HGNC Symbol;Acc:13541]"
ENSG00000166908,chr12,57984957,57997198,3296,+,46.8,q13.3,protein_coding,PIP4K2C,"phosphatidylinositol-5-phosphate 4-kinase, type II, gamma [Source:HGNC Symbol;Acc:23786]"
ENSG00000205581,chr21,40714241,40721573,5102,-,42.26,q22.2,protein_coding,HMGN1,high mobility group nucleosome binding domain 1 [Source:HGNC Symbol;Acc:4984]
ENSG00000078043,chr18,44388353,44500123,9236,-,38.51,q21.1,protein_coding,PIAS2,"protein inhibitor of activated STAT, 2 [Source:HGNC Symbol;Acc:17311]"
ENSG00000135622,chr2,74881355,74909186,4433,+,44.73,p13.1,protein_coding,SEMA4F,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F [Source:HGNC Symbol;Acc:10734]"
ENSG00000168615,chr8,38854388,38962663,6913,+,37.5,p11.22,protein_coding,ADAM9,ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:216]
ENSG00000204851,chr19,46990163,46999755,5506,-,61.24,q13.32,protein_coding,PNMAL2,paraneoplastic Ma antigen family-like 2 [Source:HGNC Symbol;Acc:29206]
ENSG00000165416,chr13,53226844,53275044,15102,+,36.99,q14.3,protein_coding,SUGT1,"SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae) [Source:HGNC Symbol;Acc:16987]"
ENSG00000196581,chr1,4714792,4852594,12405,+,52.37,p36.32,protein_coding,AJAP1,adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:30801]
ENSG00000144895,chr3,150264465,150302029,4131,+,37.58,q25.1,protein_coding,EIF2A,"eukaryotic translation initiation factor 2A, 65kDa [Source:HGNC Symbol;Acc:3254]"
ENSG00000176809,chr17,62850430,62915598,7641,-,42.46,q24.1,protein_coding,LRRC37A3,"leucine rich repeat containing 37, member A3 [Source:HGNC Symbol;Acc:32427]"
ENSG00000136514,chr3,187086120,187089864,1554,+,42.4,q27.3,protein_coding,RTP4,receptor (chemosensory) transporter protein 4 [Source:HGNC Symbol;Acc:23992]
ENSG00000160352,chr19,21264965,21308073,8030,+,38.78,p12,protein_coding,ZNF714,zinc finger protein 714 [Source:HGNC Symbol;Acc:27124]
ENSG00000143514,chr1,223967601,224033674,5991,-,39.79,q41,protein_coding,TP53BP2,"tumor protein p53 binding protein, 2 [Source:HGNC Symbol;Acc:12000]"
ENSG00000240694,chr8,26362202,26371608,5579,-,48.66,p21.2,protein_coding,PNMA2,paraneoplastic Ma antigen 2 [Source:HGNC Symbol;Acc:9159]
ENSG00000214944,chr5,72921983,73237818,15617,+,39.36,q13.2,protein_coding,ARHGEF28,Rho guanine nucleotide exchange factor (GEF) 28 [Source:HGNC Symbol;Acc:30322]
ENSG00000180806,chr12,54388679,54397121,1679,+,56.89,q13.13,protein_coding,HOXC9,homeobox C9 [Source:HGNC Symbol;Acc:5130]
ENSG00000198805,chr14,20937113,20945253,4139,+,47.11,q11.2,protein_coding,PNP,purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:7892]
ENSG00000174485,chr15,65950384,66084631,8902,-,37.31,q22.31,protein_coding,DENND4A,DENN/MADD domain containing 4A [Source:HGNC Symbol;Acc:24321]
ENSG00000147676,chr8,120177273,120257913,3431,+,39.64,q24.12,protein_coding,MAL2,"mal, T-cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:13634]"
ENSG00000149043,chr11,1848709,1858751,4854,+,63.32,p15.5,protein_coding,SYT8,synaptotagmin VIII [Source:HGNC Symbol;Acc:19264]
ENSG00000144579,chr2,219262979,219270664,4727,+,63.19,q35,protein_coding,CTDSP1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 [Source:HGNC Symbol;Acc:21614]"
ENSG00000005175,chr12,48057070,48099844,3343,-,36.73,q13.11,protein_coding,RPAP3,RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:26151]
ENSG00000008083,chr6,15246527,15522252,6490,+,43.92,p22.3,protein_coding,JARID2,"jumonji, AT rich interactive domain 2 [Source:HGNC Symbol;Acc:6196]"
ENSG00000140749,chr16,21652609,21663981,1781,-,40.88,p12.2,protein_coding,IGSF6,"immunoglobulin superfamily, member 6 [Source:HGNC Symbol;Acc:5953]"
ENSG00000224470,chr16,71879894,71919171,8537,+,47.18,q22.2,protein_coding,ATXN1L,ataxin 1-like [Source:HGNC Symbol;Acc:33279]
ENSG00000055208,chr6,149539777,149732749,5758,+,38.87,q25.1,protein_coding,TAB2,TGF-beta activated kinase 1/MAP3K7 binding protein 2 [Source:HGNC Symbol;Acc:17075]
